# YEA	MON	DAY	NAME

 1833	6	30	Delaistre Marie
 1833	9	9	Faassen Pieter
 1833	9	25	Milher (Hermil)
 1833	12	9	Faassen Velzen Catharina
 1833	12	19	Fournier Paul
 1834	1	17	Engelmann Wilhelmina
 1834	3	17	Duchenay Anna
 1834	7	10	Leautaud Firmin
 1835	4	28	Frances Emile
 1835	5	2	Stella Federigo
 1835	6	10	Pericaud Louis
 1835	7	9	Theric Alice
 1835	9	25	Fassier Alfred
 1836	1	5	Montagne Marie
 1836	3	8	Lebrun Marie
 1836	3	11	Felix Dinah
 1836	5	2	Lemeril Edme
 1836	5	10	Fleury Emma
 1836	7	23	Nelly Ernestine
 1836	11	16	Desclee Aimee
 1836	11	16	Provost Francois
 1836	11	26	Worms Gustave
 1836	12	2	Monti Luigi
 1837	3	25	Ellenberger Wilhelmina
 1837	4	25	Theresa Mme
 1837	5	7	Daubray Michel
 1837	6	13	Finsterwald Charles
 1837	10	14	Brunel Marie
 1837	11	17	Haspels Derk
 1837	12	3	Almirante Nunzio
 1838	4	23	Courdier Marc
 1838	4	24	Bigot Cornelis
 1838	6	10	Beem-Meijer Elias
 1838	7	10	Devoyod Elise
 1838	7	10	Godfin Alfred
 1838	9	27	Delaporte Marie
 1838	10	18	Sasse Marie
 1838	11	23	Chatelin Lucien
 1839	1	10	Damain Elise
 1839	1	27	Joliet Auguste
 1839	3	24	Lisbonne Maxime
 1839	5	21	Glatigny Joseph
 1839	7	16	Monreal (Rieunier)
 1839	11	3	Hucherard Jules
 1840	2	26	Bordas Rosa
 1840	5	9	Dantigny Blanche
 1840	7	19	Rousseil Mari
 1840	9	27	Chebroux Ernest
 1840	12	17	Nostag Eugene
 1841	1	23	Coquelin Constant
 1841	1	28	Beauvallet Pierre
 1841	1	29	Laroche Jules
 1841	2	27	Mounet-Sully
 1841	3	25	Royer Marie
 1841	4	14	Leocadie (Cator)
 1841	4	19	Bonaventure Francois
 1841	5	15	Malard Emile
 1841	6	14	Delahaye Camille
 1841	8	16	Moise Anais
 1842	2	21	Nieuwland Marita
 1842	6	6	Nantier Adele
 1842	6	16	Grivot Laurence
 1842	7	8	Strini Eleonora
 1842	9	5	Bouwmeester Louis Fr
 1842	10	17	Papa Giovagnoli Leontina
 1842	11	1	Brach Aline
 1842	11	16	Andrieu Charles
 1842	12	8	Leblanc Leonide
 1843	2	1	Jourdan Auguste
 1843	2	20	Michel Andre
 1843	5	23	Bouffar Zulma
 1843	6	29	Manvoy Josephine
 1843	10	1	Estebenet Marie
 1844	2	2	Majone Domenico
 1844	4	8	Dupont-Vernon Henri
 1844	4	11	Clement (Lechien)
 1844	6	3	Rheville Ernest
 1844	8	23	Dugaril Jean
 1844	8	30	Beermans Catharina
 1845	2	6	Paulus (Habans)
 1845	2	8	Delamalleree Marie
 1845	5	15	Aimee (Rochon)
 1845	6	22	Dewantre Octavie
 1845	12	19	Guerin Jules
 1846	1	21	Kuyk Henrik
 1846	3	1	Dumas Marie
 1846	5	11	Vois Ernest
 1846	8	4	Seveste Jules
 1846	8	28	Breuil Marie
 1846	10	7	Mazoudier Joseph
 1846	12	20	Hericourt Victorine
 1846	12	21	Strini Giuseppe
 1846	12	29	Rollinat Maurice
 1847	1	14	Tovagliari Pier
 1847	2	11	Emanuel Giovanni
 1847	2	23	Albert-Lambert Leon
 1847	4	3	Zuylen Willem
 1847	7	4	Druet Adeline
 1847	9	15	Boucher Jules
 1847	10	5	Mounet Jean
 1847	10	12	Schoonhoven Cornelis
 1847	10	23	Dominici Enrico
 1847	12	14	Colas Jeanne
 1848	1	19	Hamet Charles
 1848	3	3	Fraizier Philippe
 1848	3	8	Barataud Juliette
 1848	3	10	Marcilly Blanche
 1848	3	13	Dortet Suzanne
 1848	5	16	Coquelin Ernest
 1848	6	5	Bourgeotte Edouard
 1848	6	18	Bouhy Jacques
 1848	8	2	Bouwmeester Fritz
 1848	8	29	Defresne Marie
 1848	9	14	Blanc Anna
 1848	10	4	Achard Frederic
 1848	10	13	Pantalena Gennaro
 1848	12	7	Matrot Pierre
 1849	1	9	Dunoyer Blanche
 1849	1	17	Paturel Marie
 1849	7	18	Judic (Damiens)
 1849	8	29	Goudeau Emile
 1849	9	24	Blanche Francois
 1849	9	30	Hadamar Zelie
 1850	2	2	Villain Francois
 1850	3	10	Fazy Amelia
 1850	4	19	Bouwmeester Theodora
 1850	5	15	Strintz Leon
 1850	5	26	Poolman Elisabeth
 1850	6	24	Cortvrient Alfons
 1850	8	10	Fabbri Attilio
 1850	8	14	Bachigaloupi-Tourniaire
 1850	9	6	Tholer Gabrielle
 1851	1	17	Silvain Eugene
 1851	3	21	Jong Jacob
 1851	4	1	Brag Therese
 1851	5	6	Bruant Aristide
 1851	10	13	Janillion Fernand
 1851	11	8	Legay Marcel
 1851	12	3	Joubert Simon
 1851	12	12	Arndt Wilhelm
 1852	1	6	Bremont (Bachimont)
 1852	2	19	Donval (Guilloreau)
 1852	5	6	Dani Marie
 1852	6	21	Pazat Jeanne
 1852	6	22	Carre Albert
 1852	8	8	Barendse Barend
 1852	8	13	Beaujard Alphonsine
 1853	1	25	Bahier Alphonse
 1853	3	13	Scarpetta Eduardo
 1853	4	29	Marais Leon
 1853	6	8	Geslin Alphonsine
 1853	7	29	Boer-Rijk Esther
 1854	1	27	Luiggini Pauline
 1854	2	9	Kreeft Albertus
 1854	2	20	Westerhoven Louis
 1854	5	8	De Martino Giuseppe
 1854	7	1	Monget Marie
 1854	8	12	Kelly Johannes
 1855	4	10	Lerou Marie
 1855	4	22	Baretta Blanche
 1855	7	2	Ouvrard Eloi
 1855	7	8	Vos Jan
 1855	12	8	Tisse Marie
 1856	1	8	Heer Petronella
 1856	1	14	Patry Pauline
 1856	2	18	Rochefort Julie
 1857	2	16	Barthelemy Berthe
 1857	6	11	Tamberlani Vincenzo
 1857	9	14	Zacconi Ermete
 1857	12	17	Falconnier Pierre
 1858	1	1	Legault Maria
 1858	1	31	Antoine Andre
 1858	5	18	Secon Gaston
 1858	6	1	Lageman Dirk
 1858	7	1	Cande Etienne
 1858	7	13	Trimouillat Pierre
 1858	8	28	Le Bargy Charles
 1858	10	3	Duse Eleonora
 1859	2	14	Plan Paul
 1859	3	10	Holkers Dirk
 1859	5	8	Girard Julie
 1859	5	26	Lody Marie
 1859	7	25	Cavaglieri Gino
 1859	10	30	Dreher Konrad
 1859	12	3	Feraudy Maurice
 1860	5	11	Rosamond Cesarine
 1860	5	24	Schulze Cornelis
 1860	12	6	Di Napoli Gennardo
 1860	12	12	Galipaux Felix
 1860	12	13	Guitry Lucien
 1861	1	15	Petit Marie
 1861	2	7	Rössing-Sablairolles Anna
 1861	8	23	Fontanes Henri
 1861	8	31	Battaille Jean
 1861	12	20	Bonn Ferdinand
 1862	1	16	Reiter Virginia
 1862	2	23	Teulet Edmond
 1862	3	1	Lemercier Eugene
 1862	4	29	Schwab-Welmann Wilhelmina
 1862	5	16	Hamel Augustin
 1862	6	17	Delmet Paul
 1862	10	30	Wiecke Paul
 1862	11	14	Moy Jules
 1863	2	13	Ferny Jacques
 1863	2	20	Esparbes Louis
 1863	3	20	Pfeil Mathieu
 1863	5	1	Darmont Albert
 1863	7	2	Vaucaire Maurice
 1863	7	25	Schaeffer Helene
 1863	8	3	Orlandini Leopoldo
 1863	9	17	Desjardins Maxime
 1863	9	27	Privas Xavier
 1864	3	14	Vink Maria
 1864	5	27	Faassen Victor
 1864	8	8	Vries Henri
 1864	10	4	Yon-Lug (Jacquet)
 1864	10	11	Boyer Adolphine
 1864	11	11	Eysden Peter
 1864	11	18	Mallarme Georges
 1865	2	8	Verenet Georges
 1865	3	27	Dheurs Anne
 1865	4	18	Tarride Abel
 1865	7	25	Degeorges Maurice
 1865	8	13	Weil Paul
 1865	9	8	Donadoni Margherita
 1865	10	7	De Sanctis Alfredo
 1865	11	7	Hyspa Vincent
 1865	12	31	Albert-Lambert Raphael
 1866	1	1	Boukay (Couyba)
 1866	1	18	Kley Helena
 1866	1	24	Paumier Raoul
 1866	2	26	Fursy (Dreyfus)
 1866	5	9	Coquet Georges
 1866	9	17	Cocheris Jules
 1866	10	19	Warmelo Marie
 1866	11	2	Erfmann Eberhard
 1867	1	21	Royaards Willem
 1867	4	10	Galvani Ciro
 1867	5	2	Zoncada Luigi
 1867	8	6	Godeau Fernand
 1867	9	7	Bassermann Albert
 1867	12	9	Xanrof (Fourneau)
 1867	12	12	Forgue Albertine
 1867	12	30	Mondos Jules
 1868	4	10	Delorme Hugues
 1868	5	1	Garavaglia Ferruccio
 1868	6	29	Wissoco Marie
 1868	7	19	Horst Adrianus
 1868	9	14	Botrel Theodore
 1868	9	30	Varney Jean
 1868	10	20	Montoya Gabriel
 1869	2	1	Gemier Firmin
 1869	4	4	Farulli Ugo
 1869	5	23	Dranem (Menard)
 1869	7	5	Fumagalli Mario
 1869	8	31	Mulder-Roelofsen Aleida
 1869	12	21	Carini Luigi
 1870	2	16	Chezell Fernand
 1870	2	16	Mellot Marthe
 1870	3	25	Bazille Henri
 1870	4	24	Fenoux Jacques
 1870	5	14	Cauwenberghe Cesar
 1870	8	14	Poolman Augustina
 1870	9	28	Morrien Carel
 1870	12	13	Chepfer Georges
 1871	2	24	Lugt Melsert Wilhelmina
 1871	2	27	Waldau Gustav
 1871	4	17	Esquier Leon
 1871	5	24	Grumbach Jeanne
 1871	5	29	Siblot Charles
 1871	7	6	Falconi Armando
 1871	8	7	Dehelly Emile
 1871	9	25	Tempesti Giulio
 1871	10	18	Vries Louis
 1871	10	20	Bles Numa
 1871	11	14	Ruggeri Ruggero
 1871	11	29	Chiantoni Amedeo
 1871	12	18	Musco Angelo
 1871	12	26	Dorival Georges
 1871	12	31	Dalmores (Brin)
 1872	2	26	Baltha Georges
 1872	3	7	Faassen Marie
 1872	4	1	Lelievre Leo
 1872	4	27	Prince Charles
 1872	7	9	Montehus (Brunschwig)
 1872	9	25	Salmon Lea
 1872	10	4	Usai Tamberlani Anna
 1872	11	18	Mayol Felix
 1872	12	4	Di Lorenzo Tina
 1873	4	29	Klein Alida
 1873	4	30	Vayre Joseph
 1873	8	13	Monrose Maurice
 1873	9	7	Sorel Cecile
 1873	10	5	Faassen Alexander
 1874	2	25	Baghetti Aristide
 1874	3	4	Paoli Giulio
 1874	3	17	Hartmann Julie
 1874	5	3	Moriss (Boyer)
 1874	7	27	Wiegand Johannes
 1874	8	14	Fallot Charles
 1874	9	17	Tolentino Riccardo
 1874	10	25	Gramatica Emma
 1874	11	16	Gournac Francois
 1874	11	22	Max-Dearly (Rolland)
 1874	11	28	Dux Fanny
 1874	12	26	Retty Rosa
 1874	12	28	Quaglia Corinna
 1875	4	3	Mistinguett (Bourgeois)
 1875	8	28	Bertramo Calisto
 1875	10	28	Sasbasch Wilhelmina
 1875	12	22	Musch Jan
 1876	1	20	Boyer Lucien
 1876	3	6	Baumbach Felix
 1876	5	4	Scarpetta Vincenzo
 1876	6	8	Maille Victoire
 1876	7	8	Tumiati Gualtiero
 1876	7	22	Lara Louise
 1876	7	26	Anselmi Rosina
 1876	10	11	Köstlin Reinhardt
 1877	2	23	Boucher Victor
 1877	8	4	Garry Jules
 1877	10	3	Herterich Frank
 1877	10	24	Hopper Hendrika
 1877	10	28	Starck Marie
 1877	12	6	Galli Dina
 1877	12	6	Levesque Marcel
 1877	12	16	Campa Pio
 1878	4	14	Teldi Tilda
 1878	6	2	Starace Sainati Bella
 1878	6	15	Verkade Edouard
 1878	6	25	Parny Flavie
 1878	8	1	Garrick Marie
 1878	8	8	Myriane Eugenie
 1878	9	9	Avray Charles D'
 1878	11	15	Signoret Gabriel
 1879	2	4	Copeau Jacques
 1879	5	5	Decoeur Albert
 1879	5	9	Ziegler Hans
 1879	6	16	Becker Marie
 1879	7	5	Plaut Joseph
 1879	7	18	Monteaux Roger
 1879	8	13	Armand Arthur
 1879	10	3	Brunot Andre
 1879	11	4	Borelli Alda
 1880	3	21	Olivieri Egisto
 1880	3	22	Bacque Andre
 1880	4	8	Magnetti Adelina
 1880	6	8	Bary Leon
 1880	8	19	Bresil Marguerite
 1880	9	1	Lalandre Yvonne
 1880	9	7	Drielen-Gimberg L
 1880	9	23	Coute Gaston
 1880	11	4	Casilini Umberto
 1880	11	9	Ferreol Roger
 1880	12	27	Bert Camille
 1881	1	1	Mina Mario
 1881	3	26	Dijk Kornelis
 1881	4	26	Rodor Jean
 1881	6	8	Oudart Felix
 1881	7	17	Arnaudy (Guarino)
 1881	8	3	Lütjohann Reinhold
 1881	8	24	Majeroni Achille
 1881	9	8	Pavanelli Livio
 1881	11	11	Palmarini Umberto
 1882	1	30	Max-Harry (Ablin)
 1882	4	5	Mack Fritz
 1882	5	14	Bron Pierre
 1882	5	17	Martini Augustin
 1882	5	19	Rullier Gaston
 1882	6	24	Bonecchi Paolo
 1882	7	4	Lugt Melsert Cornelius
 1882	8	1	La Chapelle Philippe
 1882	8	22	Aquistapace Jean
 1882	8	28	Salvietti Agostino
 1882	8	31	Germain Fernand
 1882	10	13	Lupi Ruggero
 1882	12	21	Granval Charles
 1883	2	9	Berry Jules
 1883	2	11	Vieuille Roger
 1883	2	21	Delacre Jules
 1883	3	8	Pierozzi Giuseppe
 1883	4	19	Grossi Nera
 1883	4	20	Barjac (Beauberon)
 1883	5	18	Loos Theodor
 1883	6	9	Rieux Jean
 1883	8	10	Roch Julienne
 1883	9	24	Toziny Roger
 1883	12	9	Betrone Annibale
 1883	12	12	Giovannini Alberto
 1883	12	16	Linder Max
 1883	12	18	Raimu Jules
 1883	12	18	Raisy Carmen
 1884	1	13	Elsensohn Johannes
 1884	4	4	Fabre Saturnin
 1884	4	18	Janssens Magdalena
 1884	5	6	Calo Romano
 1884	5	22	Pieri-Chiantoni Alfonsina
 1884	6	7	Praag Elias
 1884	6	23	Krauss Werner
 1884	7	10	Larquey Pierre
 1884	8	18	Bosc Henry
 1884	9	16	Paulais Georges
 1884	9	29	Gabaroche Gaston
 1884	10	21	Waldoff Claire
 1884	12	14	Ponto Erich
 1885	2	8	Clement Agostino
 1885	3	21	Renoir Pierre
 1885	4	29	Rame Domenico
 1885	5	12	Dullin Charles
 1885	6	12	Ahrens Hermann
 1885	8	26	Gretillat Jacques
 1885	8	29	Vina Victor
 1885	9	1	Denis D'Ines
 1885	9	23	Merkelbach Hendrik
 1885	10	5	Viviano Luisello
 1885	10	16	Melato Maria
 1885	10	31	Bouwmeester Fritz Louis
 1885	12	22	Alexandre Rene
 1886	1	9	Viviani Raffaele
 1886	3	3	Faivre Paul
 1886	7	1	Robinne Gabrielle
 1886	7	8	Barthels Karl
 1886	7	12	Gerbault Paul
 1886	8	20	Tofano Sergio
 1886	9	20	Milton Georges
 1886	12	13	Signoret Jean
 1886	12	27	Sterni Giuseppe
 1887	1	6	Bovy Berthe
 1887	2	7	Janssen Walter
 1887	4	29	Migliari Armando
 1887	5	2	Bohnen Michael
 1887	5	10	Micheluzzi Carlo
 1887	5	29	Gebühr Otto
 1887	7	2	Eckert Victor
 1887	8	24	Duflos Huguette
 1887	9	21	Luley Karl
 1887	10	4	Berry Mady
 1887	11	14	Gasteren Louis
 1887	11	20	Ninchi Annibale
 1887	12	24	Jouvet Louis
 1887	12	31	Modot Gaston
 1888	1	23	Lafon Max
 1888	2	5	Cristina Olinto
 1888	2	6	Pilotto Camillo
 1888	3	7	Schoenhals Albrecht
 1888	5	19	Mauricet (Renaut)
 1888	7	13	Murat Jean
 1888	7	19	Gentilli Olga
 1888	7	20	Gobet Jean
 1888	9	1	Gelnard (Legrand)
 1888	9	12	Chevalier Maurice
 1888	9	17	Giachetti Gianfranco
 1888	9	21	Baroux Lucien
 1888	9	21	Rame Angelo
 1888	9	29	Henry-Laverne (Allum)
 1888	11	7	Florath Albert
 1888	11	17	Götz Curt
 1888	12	1	Becci Franco
 1888	12	10	Nerking Hans
 1888	12	10	Seglin Margherita
 1889	1	1	Pilgram-Favart Wilhelm
 1889	1	2	Capodaglio Wanda
 1889	2	23	Celli Maria
 1889	2	26	Berlioz Jacques
 1889	6	19	Poll Jaap
 1889	7	5	Donadio Giulio
 1889	11	14	Racca Corrado
 1889	11	26	Riento Virgilio
 1889	11	29	Haagen Margarete
 1889	12	3	Alibert
 1889	12	12	Imhoff Otto
 1890	1	25	Genin Rene
 1890	2	2	Pianforini Massimo
 1890	3	10	Ouvrard Gaston
 1890	4	5	Carelsen Fie
 1890	4	19	Dieben Lodewijk
 1890	5	3	Luskarn Frank
 1890	6	3	Almirante-Manzini
 1890	6	25	Oettly Paul
 1890	6	29	Paoli Evelina
 1890	7	6	De Macchi Sandro
 1890	7	6	Marcyl Cecyl
 1890	7	26	Parser Mauritz
 1890	12	12	Melrack Louis
 1890	12	29	Dorsch Käthe
 1891	1	21	Silvani Aldo
 1891	2	3	Huf Paul
 1891	4	19	Rosay Francoise
 1891	5	1	Hell Rene
 1891	6	3	Georgius (Guibourg)
 1891	6	13	Saalborn Louis
 1891	7	19	Cimara Luigi
 1891	7	24	Hooykaas Adriaan
 1891	7	29	Rocholl Theodor
 1891	9	12	Berval Antonin
 1891	9	19	Birgel Willy
 1891	9	27	Coop Franco
 1891	10	24	Bertin Pierre
 1891	11	13	Dorin Rene
 1891	11	30	Weilhammer Frank
 1891	12	4	Niccoli Raffaello
 1892	2	5	Verdiani Guido
 1892	2	16	Auen Carl
 1892	2	28	Parisi Vittorio
 1892	3	13	Olivier Claire
 1892	3	16	Bilboquet (Bontemps)
 1892	4	17	Menichelli-Migliari Dora
 1892	4	24	König Hans
 1892	5	15	Luguet Andre
 1892	6	4	Marcacci Augusto
 1892	6	18	Triceri-Ruffini Lina
 1892	7	12	Piel Harry
 1892	7	24	Furno Domenico
 1892	8	12	Wishev-Martens Albert
 1892	8	16	Rognoni Raymond
 1892	8	21	Vanel Charles
 1892	11	14	Escande Maurice
 1892	11	20	Schröder Arthur
 1892	12	18	Roquevert Noel
 1893	1	14	Dalsace Lucien
 1893	2	12	Girard Amedeo
 1893	3	12	Brochard Jean
 1893	3	14	Alcover Pierre
 1893	4	17	Gaillard Roger
 1893	4	26	Charco Louis
 1893	5	19	Rösner Willy
 1893	6	12	Kleyn Kommer
 1893	7	14	Jacquin Abel
 1893	7	15	Battiferri Giulio
 1893	7	15	Dieterle Wilhelm
 1893	7	22	Hieronimus Rene
 1893	8	15	Dac Pierre
 1893	8	17	Rame-Baldini Amelia
 1893	9	6	Carnabuci Piero
 1893	9	30	Wernicke Otto
 1893	10	11	Argentin Christian
 1893	10	14	Link Else
 1893	10	26	Bretty (Bolchesi)
 1893	10	30	Ees Johanna
 1893	10	30	Maertens Willy
 1893	11	19	Durante Checco
 1894	3	19	Corne Leonce
 1894	5	10	Clariond Aime
 1894	5	16	Handwerk Richard
 1894	5	18	Langheinz Ernst
 1894	7	25	Printemps Yvonne
 1894	9	27	Stöckel Joe
 1894	11	9	Dhelia France
 1895	2	11	Donati Maria
 1895	2	19	Vergani Vera
 1895	2	24	Nassiet Henri
 1895	3	31	Brizzolari Mario
 1895	7	8	Vandevelde Antonius
 1895	8	1	Manurtta Giovanni
 1895	8	7	Ridenti Lucio
 1895	10	3	Dijk Frits
 1895	10	6	Bruno Nando
 1895	11	3	Willm Pierre
 1895	12	1	Wäscher Aubert
 1895	12	8	Lucas (Pesral)
 1896	1	15	Tamberlani Ferdinando
 1896	3	2	Ees Jan
 1896	5	2	Bertini Francesca
 1896	5	31	Ninchi Carlo
 1896	7	21	Berriau Simonne
 1896	8	11	Raymone (Duchateau)
 1896	8	30	Reichert Willy
 1896	10	15	Gabriello (Galopet)
 1897	1	9	Bragaglia Arturo
 1897	1	24	Ledoux Fernand
 1897	1	24	Vital Geymond
 1897	2	5	Siletti Mario
 1897	2	9	Catelain Jacques
 1897	2	26	Costa Romolo
 1897	4	4	Fresnay Pierre
 1897	4	13	Cesco Baseggio
 1897	5	27	Priolet Antonin
 1897	6	15	Kranz Fritz
 1897	6	24	Meester Johan
 1897	7	7	Spalla Erminio
 1897	8	7	Wery Carl
 1897	8	9	Noel-Noel
 1897	10	8	Herrand Marcel
 1897	10	25	Pavese Luigi
 1897	11	9	Kruger Charlotte
 1897	11	28	Cerdan Simone
 1897	12	3	Viarisio Ernesto
 1898	1	7	Rigoult Pierre
 1898	2	24	Porelli Giuseppe
 1898	3	2	Dejean Max
 1898	3	6	Lefevre Rene
 1898	3	11	Solbelli Anna
 1898	3	24	Kloeble Alfons
 1898	4	24	Walbröhl Clara
 1898	5	5	Groeneveld Gisbertus
 1898	5	15	Arletty (Bathiat)
 1898	7	3	De Filippo Titina
 1898	7	20	Kooiman Louise
 1898	8	5	Heinle Lutz
 1898	8	28	Marchand Henri
 1898	9	21	Bernard Paul
 1898	11	18	Ivens Joris
 1898	11	22	Orbal (Labro)
 1898	12	9	Cordy Raymond
 1899	2	17	Panicale Giulio
 1899	3	1	Billy Louis
 1899	3	9	Mag-Avril Marguerite
 1899	3	11	Tamberlani Carlo
 1899	4	22	Hoerrmann Albert
 1899	4	22	Reinhardt Frank
 1899	5	18	Ferval Pierre
 1899	5	25	Wasley Andre
 1899	6	29	Messa Esperia
 1899	7	9	Sabbatini Gino
 1899	7	11	Lec Jean
 1899	7	19	Sablon Germaine
 1899	7	23	Bernardi Nerino
 1899	7	23	Seitz Lou
 1899	8	16	Gizzi Loris
 1899	8	24	Wagner Paul
 1899	8	28	Boyer Charles
 1899	9	26	Rene-Paul (Voloter)
 1899	9	27	Ricci Renzo
 1899	10	2	Weber Paul
 1899	10	23	Arnoux Robert
 1899	11	7	Fabre Fernand
 1899	11	22	De Angelis Gualtiero
 1899	12	17	Johanssen Ebba
 1899	12	22	Gründgens Gustav
 1900	1	1	Borboni Paola
 1900	1	2	Lombardi Carlo
 1900	1	7	Rousseau Edouard
 1900	1	22	Busch Ernst
 1900	1	22	Kargus Heinz
 1900	3	3	Beauchamp Edmond
 1900	4	10	Brenner Heinz
 1900	4	19	Scelzo Filippo
 1900	5	3	Jamblan (Blanvillain)
 1900	5	6	Rame Maria
 1900	5	24	De Filippo Edoardo
 1900	6	2	Mingand Pierre
 1900	6	25	Aba Marta
 1900	6	29	Guerini Camille
 1900	7	27	Fürbringer Ernst
 1900	9	29	Pongratz Alfred
 1900	10	12	Sebald Herbert
 1900	11	29	Serra Domenico
 1900	12	18	Solidor Suzy
 1901	1	9	Oswald Marianne
 1901	1	18	Savril Rene
 1901	1	29	Stöhr Karl
 1901	2	6	Besozzi Nino
 1901	2	6	Nürnberger Siegfried
 1901	2	22	Schaarwächter Hans
 1901	3	21	Toto (De Curtis)
 1901	3	28	Hautin Marie
 1901	4	3	Bittler Peter
 1901	4	17	Maurer Friedrich
 1901	4	25	Bettarini Cesare
 1901	4	28	Kan-Vonk Diderika
 1901	5	3	Cervi Gino
 1901	6	1	Ortensi Mario
 1901	6	1	Souplex Raymond
 1901	6	23	Verhoeven Paul
 1901	7	7	Knuth Gustav
 1901	8	3	Glori Enrico
 1901	8	4	Krause Willy
 1901	8	22	Charrett (Chariot)
 1901	9	28	Bouwmeester Lily
 1901	10	5	Fiolet Johann
 1901	10	8	Doerry Hans
 1902	2	21	Bagni Margherita
 1902	3	7	Rühmann Heinz
 1902	3	31	Cusin Georges
 1902	5	13	Bonini Letizia
 1902	5	27	Macario Erminio
 1902	6	8	Marchat Jean
 1902	6	23	Wieman Mathias
 1902	6	24	Blavette Charles
 1902	7	7	De Sica Vittorio
 1902	7	26	Schrader Hugo
 1902	8	14	Speelmanns Hermann
 1902	9	24	Roxa Lina
 1902	12	29	Cocco Piero
 1902	12	30	Lohkamp Emil
 1903	1	13	Guerzoni Fausto
